1,Low,2,0,Elite Grimple,Fey; Gremlin;,Bestiary 3 pg. 120
2,Low,2,0,Weak Ifrit Pyrochemist,Human; Humanoid; Ifrit;,Bestiary 2 pg. 2002.0
3,Low,2,0,Weak Riding Horse,Animal;,Bestiary pg. 209
4,Low,2,0,Elite Bloodseeker,Animal;,Bestiary pg. 42
5,Low,2,0,Water Wisp,Elemental; Water;,Bestiary 3 pg. 91
6,Low,2,0,Weak Gourd Leshy,Leshy; Plant;,Bestiary pg. 218
7,Low,2,0,Stingray,Animal; Aquatic;,Bestiary 2 pg. 2262.0
8,Low,2,0,Elite Nyktera,Fey; Sprite;,Bestiary 3 pg. 254
9,Low,2,0,Elite Merchant,Human; Humanoid;,Gamemastery Guide pg. 244
10,Low,2,0,Pygmy Kaava,Humanoid;,The Mwangi Expanse pg. 300 2.0
11,Low,2,0,Weak Graveshell,Beast; Uncommon;,Pathfinder #145: Hellknight Hill pg. 89
12,Low,2,0,Weak Cave Scorpion,Animal;,Bestiary 2 pg. 2342.0
13,Low,2,0,Weak Prisoner,Human; Humanoid;,Gamemastery Guide pg. 215
14,Low,2,0,Weak Duergar Bombardier,Duergar; Dwarf; Humanoid;,Bestiary pg. 139
15,Low,2,0,Weak Acolyte Of Pharasma,Human; Humanoid; Uncommon;,Shadows at Sundown pg. 35
16,Low,2,0,Weak Augur,Fiend; Velstrac;,Bestiary 2 pg. 2802.0 ; Pathfinder #147: Tomorrow Must Burn pg. 82
17,Low,2,0,Weak Cythnigot,Fiend; Qlippoth; Uncommon;,Bestiary 2 pg. 2122.0
18,Low,2,0,Elite Miriel Grayleaf,Elf; Humanoid;,Pathfinder #157: Devil at the Dreaming Palace pg. 7
19,Low,2,0,Weak Brownie,Fey;,Bestiary 2 pg. 442.0
20,Low,2,0,Kobold Tunnelrunner,Humanoid; Kobold; Uncommon;,Pathfinder Encounter: Heaving Kobolds pg. 0
21,Low,2,0,Weak Rat Swarm,Animal; Swarm;,Bestiary pg. 276
22,Low,2,0,Bottlenose Dolphin,Animal;,Bestiary 2 pg. 842.0
23,Low,2,0,Baccali Alpaca,Animal;,Travel Guide pg. 99
24,Low,2,0,Mummified Cat,Mummy; Undead;,Book of the Dead pg. 130
25,Low,2,0,Wolf Skeleton,Mindless; Skeleton; Undead;,Book of the Dead pg. 147
26,Low,2,0,Weak Occultist [1],Humanoid;,Mercenary Marketplace: Generic Spellcasters by Tradition
27,Low,2,0,Weak Giant Gecko,Animal;,Bestiary pg. 228
28,Low,2,0,Weak Arcanist [1],Humanoid;,Mercenary Marketplace: Generic Spellcasters by Tradition
29,Low,2,0,Weak Ifrit Pyrochemist,Human; Humanoid; Ifrit;,Bestiary 2 pg. 2002.0
30,Low,2,0,Eunice,Human; Humanoid;,Pathfinder #157: Devil at the Dreaming Palace pg. 12
31,Moderate,1,4,Elite Necrophidius,Construct; Mindless;,Bestiary 2 pg. 1802.0
32,Moderate,2,1,Formian Worker,Formian;,Pathfinder #173: Doorway to the Red Star pg. 82
33,Moderate,3,-1,Apprentice,Human; Humanoid;,Gamemastery Guide pg. 244
34,Moderate,1,4,Aghash,Div; Fiend;,Bestiary 3 pg. 69
35,Moderate,2,1,Esipil,Fiend; Sahkil;,Bestiary 3 pg. 218
36,Moderate,3,-1,Antaro Boldblade,Human; Humanoid;,Pathfinder #157: Devil at the Dreaming Palace pg. 8
37,Moderate,1,4,Guardian Crew; Ragtag [3-5],Humanoid;,Mercenary Marketplace: Example Crews
38,Moderate,2,1,Burning Mammoth Longshield,Human; Humanoid; Uncommon;,Pathfinder #175: Broken Tusk Moon pg. 25
39,Moderate,3,-1,Khefak Scuttler,Animal; Uncommon;,Pathfinder #173: Doorway to the Red Star pg. 87
40,Moderate,1,4,Ragtag Archer Crew [3-5],Humanoid;,Mercenary Marketplace: Example Crews
41,Moderate,2,1,Weak Ember Fox,Elemental; Fire;,Bestiary 2 pg. 1102.0
42,Moderate,3,-1,Guard Dog,Animal;,Bestiary pg. 102
43,Moderate,1,4,Elite Raven Swarm,Animal; Swarm;,Bestiary 2 pg. 2212.0
44,Moderate,2,1,Weak Doctor [1-3],Humanoid;,Mercenary Marketplace: NPCs with Jobs
45,Moderate,3,-1,Severed Head,Mindless; Undead;,Bestiary 3 pg. 30
46,Moderate,1,4,Peryton,Beast;,Bestiary 2 pg. 1972.0
47,Moderate,2,1,Weak Pirate,Human; Humanoid;,Gamemastery Guide pg. 242
48,Moderate,3,-1,Weak Pygmy Kaava,Humanoid;,The Mwangi Expanse pg. 300 2.0
49,Moderate,1,4,Enforcer Crew; Ragtag [3-5],Humanoid;,Mercenary Marketplace: Example Crews
50,Moderate,2,1,Weak Corpselight,Rare; Undead;,Pathfinder #163: Ruins of Gauntlight pg. 84
51,Moderate,3,-1,Weak Scrit,Fey; Gremlin; Uncommon;,Pathfinder #169: Kindled Magic pg. 82
52,Moderate,1,4,Elite Web Lurker,Aberration;,Bestiary pg. 325
53,Moderate,2,1,Weak Necromancer [1-2],Humanoid;,Mercenary Marketplace: NPCs with Jobs
54,Moderate,3,-1,Merchant,Human; Humanoid;,Gamemastery Guide pg. 244
55,Moderate,1,4,Nightgaunt,Aberration; Dream; Uncommon;,Bestiary 3 pg. 186
56,Moderate,2,1,Cunning Guide,Beast; Incorporeal; Spirit;,Bestiary 3 pg. 252
57,Moderate,3,-1,Weak Scrit,Fey; Gremlin; Uncommon;,Pathfinder #169: Kindled Magic pg. 82
58,Moderate,1,4,Pixie,Fey; Sprite;,Bestiary pg. 309
59,Moderate,2,1,Anadi Seeker,Anadi; Humanoid; Uncommon;,Pathfinder #169: Kindled Magic pg. 78
60,Moderate,3,-1,Sprite,Fey; Sprite;,Bestiary pg. 308
61,Severe,1,6,Elite Occultist [5],Humanoid;,Mercenary Marketplace: Generic Spellcasters by Tradition
62,Severe,5,-1,Server,Human; Humanoid;,Gamemastery Guide pg. 238
63,Severe,2,3,Hell Hound,Beast; Fiend; Fire;,Bestiary pg. 205
64,Severe,4,0,Spellskein,Construct; Uncommon;,Pathfinder #169: Kindled Magic pg. 85
65,Severe,3,1,Loblobi,Fey; Uncommon;,Pathfinder #175: Broken Tusk Moon pg. 85
66,Severe,1,6,Hodag,Beast; Uncommon;,Bestiary 2 pg. 1452.0
67,Severe,5,-1,Giant Rat,Animal;,Bestiary pg. 276
68,Severe,2,3,Elite Enforcer [1-3],Humanoid;,Mercenary Marketplace: NPCs with Jobs
69,Severe,4,0,Ardissa's Porters,Dwarf; Humanoid; Rare;,Pathfinder #175: Broken Tusk Moon pg. 39
70,Severe,3,1,Elite Earth Wisp,Earth; Elemental;,Bestiary 3 pg. 90
71,Severe,1,6,Elite Poltergeist,Incorporeal; Spirit; Undead;,Bestiary pg. 264
