1,Medium,1,-1,Trilobite,Animal;Aquatic;,Bestiary 3 pg. 275,1,3,Giant Chameleon,Animal;,Bestiary 2 pg. 1682.0
2,Medium,2,-1,Compsognathus,Animal;Dinosaur;,Bestiary 2 pg. 80 2.0,1,0,Weak Riding Dog,Animal;,Bestiary pg. 102
3,Medium,1,-1,Weak Kangaroo,Animal;,Bestiary 3 pg. 146,1,3,Elite Giant Bat,Animal;,Bestiary pg. 39
4,Medium,2,-1,Weak Logger,Human;Humanoid;,Kingmaker Adventure Path pg. 71,1,0,Weak Ekundayo (Level 1),Human;Humanoid;Unique;,Kingmaker Companion Guide pg. 21
5,Medium,1,-1,Judge,Human;Humanoid;,Gamemastery Guide pg. 224,1,3,Elite Surgeon,Human;Humanoid;,Gamemastery Guide pg. 221
6,Medium,2,-1,Mitflit,Fey;Gremlin;,Bestiary pg. 192,1,0,Weak Grig,Fey;Sprite;,Bestiary pg. 308
7,Medium,1,-1,Weasel,Animal;,Bestiary 3 pg. 291,1,3,Giant Whiptail Centipede,Animal;,Bestiary 2 pg. 502.0
8,Medium,2,-1,Weak Mummified Cat,Mummy;Undead;,Book of the Dead pg. 130,1,0,Mummified Cat,Mummy;Undead;,Book of the Dead pg. 130
9,Medium,1,-1,Merchant,Human;Humanoid;,Gamemastery Guide pg. 244,1,3,Elite Navigator,Human;Humanoid;,Gamemastery Guide pg. 242
10,Medium,2,-1,Weak Mummified Cat,Mummy;Undead;,Book of the Dead pg. 130,1,0,Mummified Cat,Mummy;Undead;,Book of the Dead pg. 130
11,Medium,1,-1,Weak Eunice,Human;Humanoid;,Pathfinder #157: Devil at the Dreaming Palace pg. 12,1,3,Harbormaster,Human;Humanoid;,Gamemastery Guide pg. 225
12,Medium,2,-1,Raven,Animal;,Bestiary 2 pg. 221 2.0,1,0,Kangaroo,Animal;,Bestiary 3 pg. 146
13,Medium,1,-1,Weak Giant Silverfish,Animal;Uncommon;,Pathfinder #169: Kindled Magic pg. 84,1,3,Fen Mosquito Swarm,Animal;Swarm;,Bestiary 2 pg. 1752.0
14,Medium,2,-1,Weak Vine Lasher,Plant;,The Fall of Plaguestone pg. 62,1,0,Vine Lasher,Plant;,The Fall of Plaguestone pg. 62
15,Medium,1,-1,Predatory Rabbit,Undead;,Book of the Dead pg. 142,1,3,Weak Charghar,Incorporeal;Spirit;Uncommon;Undead;,Pathfinder #181: Zombie Feast pg. 84
16,Medium,2,-1,Crawling Hand,Undead;,Bestiary 2 pg. 56 2.0,1,0,Weak Hellcrown,Uncommon;Undead;,Pathfinder #145: Hellknight Hill pg. 90
17,Medium,1,-1,Weak Sicklehand Construct,Construct;Mindless;Rare;,Pathfinder #169: Kindled Magic pg. 41,1,3,Weak Clockwork Fabricator,Clockwork;Construct;Mindless;Uncommon;,Pathfinder #178: Punks in a Powderkeg pg. 85
18,Medium,2,-1,Follower Of Shumfallow,Fungus;Leshy;Rare;,Pathfinder #178: Punks in a Powderkeg pg. 25,1,0,Elite Follower Of Shumfallow,Fungus;Leshy;Rare;,Pathfinder #178: Punks in a Powderkeg pg. 25
19,Medium,1,-1,Weak Azarketi Crab Catcher,Amphibious;Azarketi;Humanoid;,Absalom; City of Lost Omens pg. 396,1,3,Elite Lacedon,Amphibious;Ghoul;Undead;,Book of the Dead pg. 104
20,Medium,2,-1,Haniver,Amphibious;Fey;Gremlin;,Bestiary 3 pg. 120,1,0,Grindylow,Aberration;Amphibious;,Bestiary 2 pg. 138 2.0
21,Medium,1,-1,Physician,Human;Humanoid;,Gamemastery Guide pg. 220,1,3,Weak Rhino Warrior,Human;Humanoid;Rare;,Pathfinder #177: Burning Tundra pg. 12
22,Medium,2,-1,Goblin Warrior,Goblin;Humanoid;,Bestiary pg. 180,1,0,Weak Nok-Nok (Level 1),Goblin;Humanoid;Unique;,Kingmaker Companion Guide pg. 57
23,Medium,1,-1,Beggar,Human;Humanoid;,Gamemastery Guide pg. 214,1,3,Weak Duskwalker Ghost Hunter,Duskwalker;Human;Humanoid;,Bestiary pg. 262
24,Medium,2,-1,Guard Dog,Animal;,Bestiary pg. 102,1,0,Elite Eagle,Animal;,Bestiary pg. 141
25,Medium,1,-1,Weak Shoony Tiller,Humanoid;Rare;Shoony;,Pathfinder #153: Life's Long Shadows pg. 82,1,3,Elite Rokurokubi,Humanoid;,Bestiary 3 pg. 216
26,Medium,2,-1,Weak Shoony Tiller,Humanoid;Rare;Shoony;,Pathfinder #153: Life's Long Shadows pg. 82,1,0,Elite Harrow Reader,Human;Humanoid;,Gamemastery Guide pg. 228
27,Medium,1,-1,Viper,Animal;,Bestiary pg. 302,1,3,Platecarpus,Animal;,Bestiary 3 pg. 178
28,Medium,2,-1,Weak Spider Swarm,Animal;Swarm;,Bestiary pg. 306,1,0,Elite Vulture Rat,Animal;,Travel Guide pg. 99
29,Medium,1,-1,Common Eurypterid,Amphibious;Animal;,Bestiary 3 pg. 97,1,3,Locathah Hunter,Amphibious;Humanoid;Locathah;,Bestiary 3 pg. 164
30,Medium,2,-1,Weak Vampire Squid,Animal;Aquatic;,Bestiary 2 pg. 2542.0,1,0,Dream Spider,Animal;,Bestiary 2 pg. 249 2.0
31,Hard,3,-1,Common Eurypterid,Amphibious;Animal;,Bestiary 3 pg. 97,1,0,Weak Coral Capuchin,Amphibious;Beast;,Bestiary 3 pg. 54
32,Hard,1,-1,Giant Rat,Animal;,Bestiary pg. 276,1,5,Elite Giant Wolverine,Animal;,Bestiary 2 pg. 2952.0
33,Hard,5,-1,Pufferfish,Animal;Aquatic;,Bestiary 3 pg. 99
34,Hard,2,-1,Red Fox,Animal;,Bestiary 3 pg. 102,1,3,Elite Giant Ant,Animal;,Bestiary 2 pg. 202.0
35,Hard,1,6,Satinder Morne,Human;Humanoid;Unique;,Kingmaker Adventure Path pg. 306
36,Hard,3,-1,Weak Baccali Alpaca,Animal;,Travel Guide pg. 99,1,0,Elite Common Eurypterid,Amphibious;Animal;,Bestiary 3 pg. 97
37,Hard,1,-1,Apprentice,Human;Humanoid;,Gamemastery Guide pg. 244,1,5,Mercenary Sailor,Human;Humanoid;,Pathfinder #147: Tomorrow Must Burn pg. 18
